bin_nr,pixel_in_bin_nr,pixel_valid_nr,min_length_cr,con_length_cr,cpcn_length_cr,NSTRV_cr,NBGSV_cr,NSTR_cr,NBGS_cr,XCRD_cr,YCRD_cr,North,South,West,East,heat_share_bins,heatdens,STAT_cr,geo_index,pixel_area,ERRO_cr
2,2,1,6.557423e+06,7.145088e+06,4.342335e+06,1578,2314,48,184,22.68750000,49.27083333,49.29166667,49.25000000,22.66666667,22.70833333,306.44456988,1.12729762,1,1510543,13.99728246,no error
2,3,2,2.361512e+05,3.997662e+05,0,1568,100,12,10,22.77083333,49.10416667,49.12500000,49.08333333,22.75000000,22.79166667,306.44456988,0.68420574,1,1513179,14.04451169,no error
2,4,3,3.766154e+06,5.628637e+05,0,1330,436,33,30,22.68750000,49.06250000,49.08333333,49.04166667,22.66666667,22.70833333,306.44456988,1.08781733,1,1510538,14.05630045,no error
2,6,4,0,8.518616e+03,0,990,10,30,1,23.27083333,53.89583333,53.91666667,53.87500000,23.25000000,23.29166667,306.44456988,0.94545535,1,1529134,12.64087258,no error
2,9,5,9.804918e+05,4.863924e+05,3.322989e+04,388,144,19,14,23.14583333,53.97916667,54.00000000,53.95833333,23.12500000,23.16666667,306.44456988,1.38440568,1,1525176,12.61565039,no error
2,11,6,1.408421e+07,6.008993e+06,4.739673e+05,2950,3428,82,251,22.31250000,49.22916667,49.25000000,49.20833333,22.29166667,22.33333333,306.44456988,1.20189785,1,1498662,14.00910089,no error
2,13,7,1.033628e+06,2.518684e+05,0,646,120,19,12,21.52083333,49.47916667,49.50000000,49.45833333,21.50000000,21.54166667,306.44456988,1.35472480,1,1473588,13.93807941,no error
2,16,8,1.068926e+06,1.933329e+05,0,2464,92,22,8,22.31250000,49.14583333,49.16666667,49.12500000,22.29166667,22.33333333,306.44456988,1.16659947,1,1498660,14.03271551,no error
2,17,9,4.059069e+05,1.636001e+05,2.668878e+06,1780,104,33,10,21.56250000,49.52083333,49.54166667,49.50000000,21.54166667,21.58333333,306.44456988,1.35472480,1,1474909,13.92621666,no error
2,18,10,6.007517e+06,1.274274e+06,0,2172,1410,83,100,22.64583333,49.10416667,49.12500000,49.08333333,22.62500000,22.66666667,306.44456988,0.68420574,1,1509219,14.04451169,no error
